1,LAX,Los Angeles International,Los Angeles,CA,348.76,348.56,1388910
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,328.39,328.20,1071711
3,DEN,Denver International,Denver,CO,296.49,296.32,985863
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,357.92,357.71,952432
5,SFO,San Francisco International,San Francisco,CA,366.82,366.61,929051
6,BOS,Logan International,Boston,MA,318.11,317.93,894216
7,SEA,Seattle/Tacoma International,Seattle,WA,327.17,326.98,879527
8,EWR,Newark Liberty International,Newark,NJ,394.44,394.21,808120
9,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,373.17,372.96,784429
10,JFK,John F. Kennedy International,New York-JFK,NY,375.59,375.38,743187
11,LGA,LaGuardia,New York-La Guardia,NY,320.03,319.84,700202
12,PHX,Phoenix Sky Harbor International,Phoenix,AZ,341.98,341.78,679945
13,MCO,Orlando International,Orlando,FL,245.20,245.06,674669
14,MSP,Minneapolis-St Paul International,Minneapolis,MN,359.76,359.55,616347
15,LAS,McCarran International,Las Vegas,NV,231.05,230.91,601666
16,PHL,Philadelphia International,Philadelphia,PA,371.74,371.52,583500
17,SAN,San Diego International,San Diego,CA,321.83,321.64,553382
18,DTW,Detroit Metro Wayne County,Detroit,MI,359.43,359.22,543732
19,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,315.47,315.29,532980
20,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,239.17,239.03,516077
21,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,350.77,350.57,506694
22,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,404.89,404.66,472746
23,PDX,Portland International,Portland,OR,320.51,320.32,470724
24,TPA,Tampa International,Tampa,FL,309.92,309.74,435806
25,AUS,Austin - Bergstrom International,Austin,TX,326.29,326.11,381015
26,SLC,Salt Lake City International,Salt Lake City,UT,350.07,349.87,380246
27,SJC,Norman Y. Mineta San Jose International,San Jose,CA,299.50,299.33,358703
28,MDW,Chicago Midway International,Chicago-Midway,IL,305.07,304.90,356935
29,CLT,Charlotte Douglas International,Charlotte,NC,418.41,418.17,356698
30,MIA,Miami International,Miami,FL,310.92,310.74,345375
31,OAK,Metropolitan Oakland International,Oakland,CA,286.27,286.10,336752
32,RDU,Raleigh-Durham International,Raleigh/Durham,NC,336.05,335.85,334420
33,SMF,Sacramento International,Sacramento,CA,339.00,338.81,329500
34,BNA,Nashville International,Nashville,TN,341.80,341.60,319595
35,STL,St Louis Lambert International,St. Louis,MO,364.82,364.61,307654
36,MCI,Kansas City International,Kansas City,MO,343.49,343.29,301519
37,DAL,Dallas Love Field,Dallas-Love Field,TX,302.73,302.56,282675
38,IAD,Washington Dulles International,Washington-Dulles,DC,423.12,422.88,277028
39,HNL,Daniel K Inouye International,Honolulu,HI,375.07,374.85,269906
40,IND,Indianapolis International,Indianapolis,IN,340.23,340.04,263331
41,CLE,Cleveland-Hopkins International,Cleveland,OH,315.92,315.74,263015
42,MSY,Louis Armstrong New Orleans International,New Orleans,LA,293.01,292.84,259462
43,PIT,Pittsburgh International,Pittsburgh,PA,348.65,348.45,254538
44,SNA,John Wayne Airport-Orange County,Santa Ana,CA,368.79,368.58,253192
